disease,description,symptoms
"Overview
    
 - 
      Osteopathy","Osteopathy is a way of detecting, treating and preventing health problems by moving, stretching and massaging a person's muscles and joints.
Osteopathy is based on the principle that the wellbeing of an individual depends on their bones, muscles, ligaments and connective tissue functioning smoothly together.",N/A
Osteophyte (bone spur),"Osteophytes (bone spurs) are bony lumps that grow on the bones in the spine or around joints. They form when a joint or bone has been damaged by arthritis, but do not always cause problems.
Osteophytes often do not cause any problems. You may only find out you have one when you have anX-rayfor another reason.","Osteophytes often do not cause any problems. You may only find out you have one when you have anX-rayfor another reason.
But they can sometimes cause problems if they rub against bone or muscles, affect your movement or put pressure on nerves.
The main symptom of an osteophyte is pain and stiffness.
Other symptoms depend on where in the body the osteophyte has formed.
They can include:
- pins and needles, numbness or weakness in the arms and legs
- lumps on joints like the fingers, big toe, heel and ankle"
"Overview
    
 - 
      Osteoporosis","Osteoporosis is a health condition that weakens bones, making them fragile and more likely to break. It develops slowly over several years and is often only diagnosed when a fall or sudden impact causes a bone to break (fracture).
The most common injuries in people with osteoporosis are:",N/A
Otosclerosis,"Otosclerosis is a problem with the bones inside the ear which causes gradual hearing loss. Hearing aids or surgery will usually improve your hearing and total hearing loss is rare.
Otosclerosis is a common cause of hearing loss in younger adults. Symptoms usually start between the ages of 30 to 50.","- gradual hearing loss in 1 or both ears, often over several years
- hearing ringing, buzzing or other noises in 1 or both ears (tinnitus)
- dizziness
- problems with your balance"
"Overview
    
 - 
      Ovarian cancer","It's important to get anysymptoms of ovarian cancerchecked as soon as possible. Finding it early can mean it's more treatable.
Page last reviewed: 24 January 2022Next review due: 24 January 2025",It's important to get anysymptoms of ovarian cancerchecked as soon as possible. Finding it early can mean it's more treatable.
"Overview
    
 - 
      Ovarian cyst","An ovarian cyst is a fluid-filled sac that develops on an ovary. They're very common and do not usually cause any symptoms.
Most ovarian cysts occur naturally and go away in a few months without needing any treatment.","An ovarian cyst usually only causes symptoms if it splits (ruptures), is very large or twists and then blocks the blood supply to the ovaries.
In these cases, you may have:
- pelvic pain– this can range from a dull, heavy sensation to a sudden, severe and sharp pain
- pain during sex
- difficulty emptying your bowels
- a frequent need to urinate
- heavy periods,irregular periodsor lighter periods than normal
- bloating and a swollen tummy
- feeling very full after only eating a little
- difficulty getting pregnant – although fertility is usually unaffected by ovarian cysts"
Ovulation pain,"It's common to have ovulation pain about 14 days before your period. It usually lasts a short time and is nothing to worry about.
Some women get ovulation pain.",N/A
"Overview
    
 - 
      Pacemaker implantation","If you need to have a pacemaker fitted, a small electrical device called a pacemaker will be surgically implanted in your chest.
The pacemaker sends electrical pulses to your heart to keep it beating regularly and not too slowly.",N/A
"Overview
    
 - 
      Paget's disease of bone","Paget's disease of bone disrupts the normal cycle of bone renewal, causing bones to become weakened and possibly deformed.
It's a fairly common condition in the UK, particularly in older people. It's rare in people under 50 years of age.","Paget's disease of bone can affect 1 bone or several bones. Commonly affected areas include the pelvis, spine and skull.
Symptoms can include:
- bone or joint pain
- skin feeling warm over the affected bone
- changes in bone shape
- a shooting pain that travels along or across the body, numbness and tingling (peripheral neuropathy), or balance problems
But in many cases there are no symptoms and the condition is only found during tests carried out for another reason.
Read more about thesymptoms of Paget's disease of bone."
"Overview
    
 - 
      Paget's disease of the nipple","Paget's disease of the nipple, also known as Paget's disease of the breast, is a rare condition associated with breast cancer.
It causes eczema-like changes to the skin of the nipple and the area of darker skin surrounding the nipple (areola). It's usually a sign ofbreast cancerin the tissue behind the nipple.","Paget's disease of the nipple always starts in the nipple and may extend to the areola. It appears as a red, scaly rash on the skin of the nipple and areola.
The affected skin is often sore and inflamed, and it can be itchy or cause a burning sensation. The nipple can sometimes be ulcerated.
The rash is often similar in appearance to other skin conditions, such aseczemaorpsoriasis. If you scratch it, or if it's left untreated, it can bleed, become ulcerated or scab over.
If you're experiencing itchiness, burning or bleeding but the nipple looks normal and is not red or scaly, it's unlikely to be Paget's disease of the nipple. However, you should still have it checked by a doctor.
Around half of all women diagnosed with Paget's disease of the nipple have a lump behind the nipple. In 9 out of 10 cases this is an invasive breast cancer.
Invasive cancer is where cancerous cells invade the surrounding breast tissue. Some women with Paget's disease have invasive breast cancer but do not have a lump.
However, most women with Paget's disease who do not have a lump have non-invasive cancer.
This is where the cancerous cells are contained in 1 or more areas of the breast and have not spread."
Testicle pain,"There are lots of possible causes of pain in the testicles (balls). It can sometimes be serious, so get medical help straight away if the pain is sudden, severe or does not go away.
These can be signs of a serious problem that needs to be treated in hospital as soon as possible.",N/A
Pain in the back of the hand,"There are many causes of pain in the back of your hand. You can often ease the pain yourself. But see a GP if the pain does not improve.
If you see a GP about pain in the back of your hand, they'll usually suggest you try these things:",N/A
Pain in the bottom of the foot,"Pain in the bottom of your foot (arch, ball or sole) will often get better in a few weeks. See a GP if it does not improve.
If you see a GP about pain in the bottom of your foot, they may suggest trying these things:",N/A
Pain in the palm of the hand,"There are many causes of pain in the palm of your hand. You can often ease the pain yourself. But see a GP if the pain does not improve.
If you see a GP about pain in your palm, they'll usually suggest you try these things:",N/A
Pain in the top of the foot,"Pain in the top of your foot will often get better in a few weeks. See a GP if it does not improve.
If you see a GP about pain in the top of your foot, they may suggest you try these things:",N/A
Pancreatic cancer,Pancreatic cancer is a cancer that's found anywhere in the pancreas.,"Pancreatic cancer may not have any symptoms, or they might be hard to spot.
Symptoms of pancreatic cancer can include:
- the whites of your eyes or your skin turn yellow (jaundice), and you may also have itchy skin, darker pee and paler poo than usual
- loss of appetite or losing weight without trying to
- feeling tired or having no energy
- a high temperature, or feeling hot or shivery
Other symptoms can affect your digestion, such as:
- feeling or being sick
- diarrhoea or constipation, or other changes in your poo
- pain at the top part of your tummy and your back, which may feel worse when you're eating or lying down and better when you lean forward
- symptoms of indigestion, such as feeling bloated"
"Paracetamol for adults  - Brand names: Disprol, Hedex, Medinol, Panadol","Find out how paracetamol for adults treats aches, pains and high temperature, and how to take it.",N/A
Paralysis,"Paralysis is when you are not able to move some or all your body. It can be temporary or permanent depending on what causes it.
You may have paralysis if:","You may have paralysis if:
- you cannot move some or all of your face or body
- your face or body is weak or floppy
- your face or body is numb, painful or tingles all the time
- your face or body is stiff with muscle spasms and twitches
This can start suddenly or gradually, or come and go."
"Overview
    
 - 
      Parkinson's disease","Parkinson's disease is a condition in which parts of the brain become progressively damaged over many years.
The main symptoms of Parkinson's disease are:","The main symptoms of Parkinson's disease are:
- involuntary shaking of particular parts of the body(tremor)
- slow movement
- stiff and inflexible muscles
A person with Parkinson's disease can also experience a wide range of other physical and psychological symptoms.
These include:
- depressionandanxiety
- balance problems (this may increase the chances of afall)
- loss of sense of smell(anosmia)
- problems sleeping(insomnia)
- memory problems"
Patau's syndrome,"Patau's syndrome is a serious, rare genetic disorder caused by having an additional copy of chromosome 13 in some or all of the body's cells. It's also called trisomy 13.
Each cell normally contains 23 pairs of chromosomes, which carry the genes you inherit from your parents.","Babies with Patau's syndrome can have a wide range of health problems.
Their growth in the womb is often restricted, resulting in a low birth weight, and 8 out of 10 will be born with severe heart defects.
The brain often does not divide into 2 halves. This is known as holoprosencephaly.
When this happens, it can affect facial features and cause defects such as:
- cleft lip and palate
- an abnormally small eye or eyes (microphthalmia)
- absence of 1 or both eyes (anophthalmia)
Other abnormalities of the face and head include:
- smaller than normal head size (microcephaly)
- ear malformations anddeafness
Patau's syndrome can also cause other problems, such as:
- an abdominal wall defect where the abdomen does not develop fully in the womb, resulting in the intestines being outside the body, covered only by a membrane – this is known as an exomphalos or omphalocoele
- abnormal cysts in the kidneys
There may also be abnormalities of the hands and feet, such as extra fingers or toes (polydactyly) and a rounded bottom to the feet, known as rocker-bottom feet."
Peak flow test,"Peak flow is a simple measurement of how quickly you can blow air out of your lungs. It's often used to help diagnose and monitor asthma.
A peak flow test involves blowing as hard as you can into a small handheld device called a peak flow meter.",N/A
"Overview
    
 - 
      Pelvic inflammatory disease","Pelvic inflammatory disease (PID) is an infection of the femalereproductive system, which includes the womb, fallopian tubes and ovaries.
PID often does not cause any obvious symptoms.","PID often does not cause any obvious symptoms.
Most symptoms are mild and may include 1 or more of the following:
- pain around the pelvis or lower tummy
- discomfort or pain during sex that's felt deep inside the pelvis
- pain when peeing
- bleeding between periods and after sex
- heavy periods
- painful periods
- unusualvaginal discharge, especially if it's yellow, green or smelly
A few people become very ill with:
- severe pain in the tummy
- a high temperature (fever)
- feeling and being sick"
"Overview
    
 - 
      Pelvic organ prolapse","Pelvic organ prolapse is when 1 or more of the organs in the pelvis slip down from their normal position and bulge into the vagina.
It can be the womb (uterus), bowel, bladder or top of the vagina.","Pelvic organ prolapse symptoms include:
- a feeling of heaviness around your lower tummy and genitals
- a dragging discomfort inside your vagina
- feeling like there's something coming down into your vagina – it may feel like sitting on a small ball
- feeling or seeing a bulge or lump in or coming out of your vagina
- discomfort or numbness during sex
- problems peeing – such as feeling like your bladder is not emptying fully, needing to go to the toilet more often, or leaking a small amount of pee when you cough, sneeze or exercise(stress incontinence)
Sometimes pelvic organ prolapse has no symptoms and is found during an internal examination carried out for another reason, such ascervical screening."
Pelvic pain,"Pelvic pain is felt in the lower part of your tummy. The type of pain varies, and it may be sudden and severe (acute pelvic pain) or last 6 months or longer (chronic pelvic pain).
Pelvic pain varies. It may affect a small area around your pelvis (your lower tummy) or the whole area.","Pelvic pain varies. It may affect a small area around your pelvis (your lower tummy) or the whole area.
Types of pelvic pain include:
- a sharp, stabbing or burning pain that happens suddenly
- a pain that comes on slowly but does not go away
- a dull or heavy ache, or feeling of pressure
- a twisted or knotted feeling
- a cramping or throbbing pain, which may come and go
- pain only when you’re doing something, like exercising, having sex, or peeing"
Pemphigus vulgaris,"Pemphigus vulgaris is a rare long-term condition caused by a problem with the immune system. It causes blisters in the mouth and on the skin. It can be very serious, but treatment can help control it.
Pemphigus vulgaris causes blisters that burst easily and leave very sore patches.",N/A
Penile cancer,Penile cancer affects the penis. It's very rare and mostly affects men aged over 50 years old.,"Most penile cancers affect the skin covering the penis (foreskin), or the head or tip (glans) of the penis.
The most common symptoms are:
- a growth, lump or sore that does not heal within 4 weeks
- a rash
- bleeding from your penis or under your foreskin
- a smelly discharge
- difficulty pulling back your foreskin (phimosis)
- a change in the colour of the skin of your penis or foreskin
Other symptoms of penile cancer may include:
- a lump in your groin
- feeling tired
- tummy pain
- losing weight without trying"
Penis lumps and spots,"Lumps or spots on your penis are not usually caused by anything serious, but you should always get them checked out.
Try not to be embarrassed. The doctor or nurse will be used to talking about these symptoms.",N/A
Pericarditis,"Pericarditisis inflammation of the lining around your heart, which causes chest pain. It's not usually serious, but it can sometimes cause serious health problems. Get medical advice if you have chest pain.
The main symptom of pericarditis is chest pain.",N/A
"Overview
    
 - 
      Periods","A period is the part of the menstrual cycle when a woman bleeds from her vagina for a few days.
For most women this happens around every 28 days, but it's common for periods to be more or less frequent than this, ranging from every 21 days to every 35 days.","- feeling bloated
- breast tenderness
- mood swings
- feeling irritable
- spotty skin
- low sex drive (loss of libido)
- headaches"
"Overview
    
 - 
      Peripheral arterial disease (PAD)","Peripheral arterial disease (PAD) is a common condition where a build-up of fatty deposits in the arteries restricts blood supply to leg muscles. It's also known as peripheral vascular disease (PVD).
Many people with PAD have no symptoms. However, some develop a painful ache in their legs when they walk, which usually disappears after a few minutes' rest. The medical term for this is ""intermittent claudication"".","Many people with PAD have no symptoms. However, some develop a painful ache in their legs when they walk, which usually disappears after a few minutes' rest. The medical term for this is ""intermittent claudication"".
The pain can range from mild to severe, and usually goes away after a few minutes when you rest your legs.
Both legs are often affected at the same time, although the pain may be worse in 1 leg.
Other symptoms of PAD can include:
- hair loss on your legs and feet
- numbness or weakness in the legs
- brittle, slow-growing toenails
- ulcers (open sores) on your feet and legs, which do not heal
- changing skin colour on your legs, such as turning paler than usual or blue – this may be harder to see on brown and black skin
- shiny skin
- in men,erectile dysfunction
- the muscles in your legs shrinking (wasting)
The symptoms of PAD often develop slowly, over time. If your symptoms develop quickly, or get suddenly worse, it could be a sign of a serious problem requiring immediate treatment."
"Overview
    
 - 
      Peripheral neuropathy","Peripheral neuropathy develops when nerves in the body's extremities, such as the hands, feet and arms, are damaged. The symptoms depend on which nerves are affected.
In the UK it's estimated almost 1 in 10 people aged 55 or over are affected by peripheral neuropathy.","The main symptoms of peripheral neuropathy can include:
- numbness and tingling in the feet or hands
- burning, stabbing or shooting pain in affected areas
- loss of balance and co-ordination
- muscle weakness, especially in the feet
These symptoms are usually constant, but may come and go."
Peritonitis,"Peritonitis is an infection of the inner lining of your tummy. Left untreated, it can become life threatening.
If you're having kidney dialysis treatment, the fluid in the collection bag might look cloudier than usual or contain white flecks.","- tummy pain
- a very high temperature, or feeling hot and shivery
- a rapid heartbeat (your heart is beating more quickly than normal)
- not being able to pee or peeing much less than normal"
Persistent trophoblastic disease and choriocarcinoma,"Persistent trophoblastic disease and choriocarcinoma are very rare pregnancy-related tumours known as gestational trophoblastic tumours (GTTs).
In the UK, about 1 in 600 pregnancies are found to be amolar pregnancy, where the foetus and placenta don't form properly and a baby doesn't usually develop.",N/A
PET scan,"A PET scan is a test that uses a small amount of radiation to scan inside your body. It's used to diagnose and plan treatment for conditions such as cancer.
You may be referred for a PET scan to:",N/A
Peyronie's disease,"Peyronie's disease is a condition that causes your penis to curve when it's erect. It can be painful but there are treatments to ease the symptoms and stop it getting worse.
Peyronie's disease mainly affects men over 40, but younger men can also get it. It can affect any adult with a penis.","- swelling that later causes a hard lump to develop on the shaft of your penis and stops it stretching during erections
- a curve in your penis when it's erect (if the hard area is on the top of your penis it will curve upwards, if it's on the bottom it will curve downwards)
- painful erections that can make having sex difficult
- problems getting or keeping an erection (erectile dysfunction)
- other changes to your penis – for example, you may have a hard area on the top, bottom and side of your penis, shortening it and making it narrower in the middle"
Phaeochromocytoma,"A phaeochromocytoma is a rare tumour of the adrenal glands, which sit above the kidneys.
The tumour is mainly found in adults, although children can sometimes develop one.","The symptoms of a phaeochromocytoma tend to be unpredictable, often occurring in sudden attacks lasting from a few minutes to an hour.
The attacks may last longer, and become more frequent and severe, as the tumour grows.
The symptoms and signs of a phaeochromocytoma can include:
- headaches
- heavy sweating
- heart palpitations
- high blood pressure
- a pale face
- feeling or being sick
- feeling anxious or panicky
- shakiness (tremor)
Some people with a phaeochromocytoma do not have symptoms, and their condition is either never diagnosed or only discovered during tests for another problem, such as high blood pressure. Others have symptoms for many years before a phaeochromocytoma is diagnosed."
Phenylketonuria,"Phenylketonuria (PKU) is a rare but potentially serious inherited disorder.
Our bodies break down the protein in foods, such as meat and fish, into amino acids, which are the ""building blocks"" of protein.","PKU does not usually cause any symptoms if treatment is started early.
Without treatment, PKU can damage the brain and nervous system, which can lead to learning disabilities.
Other symptoms of untreated PKU include:
- behavioural difficulties such as frequent temper tantrums and episodes ofself-harm
- fairer skin, hair and eyes than siblings who do not have the condition (phenylalanine is involved in the body's production of melanin, the pigment responsible for skin and hair colour)
- eczema
- repeatably being sick
- jerking movements in arms and legs
- tremors
- epilepsy
- musty smell to the breath, skin and urine"
Phlebitis (superficial thrombophlebitis),"Phlebitis is inflammation of a vein near the surface of the skin. It’s not usually serious and often gets better on its own after 1 or 2 weeks.
Phlebitis is also sometimes known as superficial thrombophlebitis or superficial vein thrombosis.",There are things you can do to help ease the pain and discomfort of phlebitis.
Phosphate test,"A phosphate test is used to measure the level of phosphate in the blood.
Phosphate is a chemical that contains themineral phosphorus. Phosphates are essential for the production of energy, muscle and nerve function, and bone growth.",N/A
Photodynamic therapy (PDT),"Photodynamic therapy (PDT) is a treatment that involves light-sensitive medicine and a light source to destroy abnormal cells.
It can be used to treat some skin and eye conditions, as well as certain types ofcancer.",N/A
Physiotherapy,"Physiotherapy is a treatment that can ease pain and improve movement if you have an injury, illness or disability. It uses exercise, massage and other techniques.
Physiotherapy is used to treat a wide range of problems, including:",N/A
Pilonidal sinus,"A pilonidal sinus is a small hole or tunnel at the top of your bottom, between your buttocks. Treatment is usually only needed if it becomes infected.
Most people with a pilonidal sinus do not notice it unless it becomes infected and causes symptoms.",N/A
Pins and needles,"Everyone can get pins and needles but see a GP if you keep getting it or it lasts a long time.
Pins and needles feels like a pricking, tingling or numbness sensation.",N/A
PIP breast implants,"PIP breast implants were withdrawn from the UK in 2010 after it was found they had been fraudulently manufactured with unapproved silicone gel, and were far more prone to splitting (rupturing) than other breast implants.
Research hasn't found any evidence to suggest that PIP implants pose a serious health risk, but they can cause unpleasant symptoms if they rupture and you may be anxious about leaving them in.",N/A
Pityriasis rosea,"Pityriasis rosea is a common skin rash. It's mild and usually goes away on its own without treatment.
Pityriasis rosea is different topityriasis versicolor.","- tiredness
- a sore throat
- a high temperature
- a headache"
Pityriasis versicolor,"Pityriasis versicolor is a common fungal skin infection. It's sometimes also called tinea versicolor. A GP can prescribe treatment for it, but it can keep coming back.
Pityriasis versicolor is different topityriasis rosea.",N/A
Plantar fasciitis,"Plantar fasciitis is a condition that causes pain on the bottom of your foot, around your heel and arch. You can usually ease the pain yourself but see a GP if it does not improve within 2 weeks.
The main symptom of plantar fasciitis is pain on the bottom of your foot, around your heel and arch.","The main symptom of plantar fasciitis is pain on the bottom of your foot, around your heel and arch.
It's more likely to be plantar fasciitis if:
- the pain is much worse when you first start walking after sleeping or resting
- the pain gradually gets better when you start moving around, but gets worse if you stand, walk or run for a long time
- it's painful to stretch the bottom of your foot, for example when you raise your toes off the floor or walk up stairs"
"Overview
    
 - 
      Plastic surgery","Plastic surgery is used to repair and reconstruct missing or damaged tissue and skin.
The main aim of plastic surgery is to restore the function and appearance of tissue and skin so it's as close to normal as possible.",N/A
Pleurisy,"Pleurisy is inflammation around the lungs, which causes sharp chest pain. It's easy to treat and usually gets better in a few days, but can sometimes be a sign of something more serious, like pneumonia.
The main symptom of pleurisy is sharp chest pain when you breathe in.",N/A
PMS (premenstrual syndrome),"PMS (premenstrual syndrome) is the name for the symptoms women can experience in the weeks before their period. It can affect anyone who has periods. You can get help if it affects your daily life.
Each woman's symptoms are different and can vary from month to month, but most women have PMS (premenstrual syndrome) at some point.","Each woman's symptoms are different and can vary from month to month, but most women have PMS (premenstrual syndrome) at some point.
The most common symptoms of PMS include:
- mood swings
- feeling depressed or irritable
- feeling upset, anxious or emotional
- tiredness or trouble sleeping
- bloating or cramping
- breast tenderness
- headaches
- spotty skin
- greasy hair
- changes in appetite or food cravings"
Pneumonia,"Pneumonia is inflammation of the lungs, usually caused by an infection. Most people get better in 2 to 4 weeks, but babies, older people, and people with heart or lung conditions are at risk of getting seriously ill and may need treatment in hospital.
Symptoms of pneumonia can start suddenly or gradually over a few days.","Symptoms of pneumonia can start suddenly or gradually over a few days.
They include:
- a cough – you may cough up yellow or green mucus (phlegm)
- shortness of breath
- a high temperature
- chest pain
- an aching body
- feeling very tired
- loss of appetite
- making wheezing noises when you breathe – babies may also make grunting noises
- feeling confused – this is common in older people"
"Overview
    
 - 
      Poisoning","Poisoning is when a person is exposed to a substance that can damage their health or endanger their life.
Most cases of poisoning happen at home, and children under 5 have the highest risk of accidental poisoning.","Thesymptoms of poisoningwill depend on the type of poison and the amount taken in, but general things to look out for include:
- being sick
- stomach pains
- confusion
- drowsiness and fainting fits
If a child suddenly develops these symptoms, they may have been poisoned, particularly if they're drowsy and confused."
Polio,"Polio is a serious infection that's now very rare because of the vaccination programme. It's only found in a few countries and the chance of getting it in the UK is extremely low.
There have been no confirmed cases of paralysis due to polio caught in the UK since 1984.","Most people who get polio do not have symptoms.
Some people get mild, flu-like symptoms, such as:
- a high temperature
- extreme tiredness (fatigue)
- headaches
- being sick (vomiting)
- a stiff neck
- muscle pain
These symptoms usually last up to 10 days.
Rarely, polio can lead to more serious symptoms that affect the brain and nerves, such as weakness in your muscles (paralysis), usually in the legs. This can happen over hours or days.
If the paralysis affects the muscles used for breathing, it can be life threatening.
Most people will recover, and movement will slowly come back over the next few weeks. Some people can be left with permanent disability."
"Overview
    
 - 
      Polycystic ovary syndrome","Polycystic ovary syndrome (PCOS) is a common condition that affects how a woman's ovaries work.
The 3 main features of PCOS are:","If you havesigns and symptoms of PCOS, they'll usually become apparent during your late teens or early 20s.
They can include:
- irregular periods orno periods at all
- difficulty getting pregnant as a result of irregular ovulation or no ovulation
- excessive hair growth (hirsutism)– usually on the face, chest, back or buttocks
- weight gain
- thinning hair andhair lossfrom the head
- oily skin oracne
PCOS is also associated with an increased risk of developing health problems in later life, such astype 2 diabetesandhigh cholesterollevels."
Polyhydramnios (too much amniotic fluid),"Polyhydramnios is when there's too much amniotic fluid (the fluid that surrounds the baby in the womb) during pregnancy. It's not usually serious and there's often no cause.
Polyhydramnios (too much amniotic fluid) does not usually cause symptoms. You may only find out you have it at a routine scan or antenatal appointment.","Polyhydramnios (too much amniotic fluid) does not usually cause symptoms. You may only find out you have it at a routine scan or antenatal appointment.
If you do have symptoms, they might include:
- indigestion and heartburn
- constipation
- breathlessness
- swollen feet and legs
- urinary tract infections (UTIs)
These could also be usualsymptoms in pregnancy.
Polyhydramnios can happen suddenly if the amniotic fluid increases quickly. It can cause tummy pain and make your tummy get bigger suddenly. This is more common if you're expecting more than 1 baby."
Polymorphic light eruption,"Polymorphic light eruption is a fairly common skin rash triggered by exposure to sunlight or artificial ultraviolet (UV) light.
An itchy or burning rash appears within hours, or up to 2 to 3 days after exposure to sunlight.","An itchy or burning rash appears within hours, or up to 2 to 3 days after exposure to sunlight.
It lasts for up to 2 weeks, healing without scarring.
The rash usually appears on the parts of the skin exposed to sunlight, typically the head, neck, chest and arms.
The face is not always affected."
"Overview
    
 - 
      Polymyalgia rheumatica","Polymyalgia rheumatica (PMR) is a condition that causes pain, stiffness and inflammation in the muscles around the shoulders, neck and hips.
The main symptom is muscle stiffness in the morning that lasts longer than 45 minutes.","The main symptom is muscle stiffness in the morning that lasts longer than 45 minutes.
Other symptoms may include:
- extreme tiredness
- loss of appetite
- weight loss
- depression
See a GP if you have pain and stiffness for more than a week. They'll try to find out what's causing it.
Diagnosing polymyalgia rheumatica can be difficult because the symptoms are similar to those of many other conditions, includingrheumatoid arthritis.
These conditions will need to be ruled out before polymyalgia rheumatica is diagnosed."
Pompholyx (dyshidrotic eczema),"Pompholyx (also called dyshidrotic eczema) is a type of eczema that affects the hands or feet. It's usually a long-term condition, but treatment can help control the symptoms.
Pompholyx causes itchy blisters on the hands or feet that come and go. The symptoms usually last 2 to 3 weeks at a time.","If you have pompholyx, your skin may get irritated easily. There are some things you can try to see if they help."
Post-herpetic neuralgia,"Post-herpetic neuralgia is long lasting pain that can happen after having shingles. It usually gets better gradually, and there are treatments that can help.
Post-herpetic neuralgia is common after you've hadshingles. It affects the areas of your body where you had the shingles rash.","Post-herpetic neuralgia is common after you've hadshingles. It affects the areas of your body where you had the shingles rash.
The symptoms usually start while you have the shingles rash or soon after it gets better. In rare cases symptoms start a few weeks or months after the shingles rash has gone.
Symptoms of post-herpetic neuralgia may include:
- aching, burning or sharp pain in your skin that may be constant or come and go
- skin that's very sensitive to pain – you may have pain from slight touch or pressure, or from changes in temperature
- itchy skin
- loss of feeling in your skin
The pain is often mild, but some people have severe pain."
Post-mortem,"A post-mortem examination, also known as an autopsy, is the examination of a body after death. The aim of a post-mortem is to determine the cause of death.
Post-mortems are carried out by pathologists (doctors who specialise in understanding the nature and causes of disease).",N/A
"Overview
    
 - 
      Post-polio syndrome","Post-polio syndrome (PPS) is a poorly understood condition that can affect people who have had polio in the past.
Poliois a viral infection that used to be common in the UK but is now rare.","Post-polio syndrome can include a wide range of symptoms that usually develop gradually over time, including:
- persistent fatigue (extreme tiredness)
- muscle weakness
- shrinking muscles
- muscle and joint pain
- sleep apnoea
The condition can have a significant impact on everyday life, making it very difficult to move about and carry out certain tasks and activities.
The symptoms tend to get gradually worse over many years, but this happens very slowly and treatment may help slow it down further.
Post-polio syndrome is rarely life-threatening, although some people develop breathing and swallowing difficulties that can lead to serious problems, such aschest infections.
Read more about thesymptoms of post-polio syndromeanddiagnosing post-polio syndrome."
Postural tachycardia syndrome (PoTS),"Postural tachycardia syndrome (PoTS) is when your heart rate increases very quickly after getting up from sitting or lying down, often making you feel dizzy or lightheaded.
There's currently no cure, but it can be managed with changes to your lifestyle, or sometimes treatment with medicines.","- dizziness or lightheadedness
- noticeable heartbeats (heart palpitations)
- chest pain
- shortness of breath
- shaking and sweating
- fainting or nearly fainting"
Potassium test,"A potassium test measures the amount of potassium in blood serum, the fluid part of your blood.
Potassiumis a mineral that helps:",N/A
"Overview
    
 - 
      Prader-Willi syndrome","Prader-Willi syndrome is a rare genetic condition that causes a wide range of physical symptoms, learning difficulties and behavioural challenges. It's usually noticed shortly after birth.
Typical symptoms of Prader-Willi syndrome include:","Typical symptoms of Prader-Willi syndrome include:
- an excessive appetite and overeating, which can easily lead to dangerous weight gain
- restricted growth(children are much shorter than average)
- floppiness caused by weak muscles (hypotonia)
- learning difficulties
- lack of sexual development
- behavioural challenges, such as emotional outbursts and physical aggression
Read more aboutsymptoms of Prader-Willi syndrome."
"Overview
    
 - 
      Pre-eclampsia","Pre-eclampsia is a condition that affects some pregnant women, usually during the second half of pregnancy (from 20 weeks) or soon after their baby is delivered.
Early signs of pre-eclampsia include havinghigh blood pressure (hypertension)and protein in your urine (proteinuria).","Early signs of pre-eclampsia include havinghigh blood pressure (hypertension)and protein in your urine (proteinuria).
It's unlikely that you'll notice these signs, but they should be picked up during your routineantenatal appointments.
In some cases, further symptoms can develop, including:
- severe headache
- vision problems, such as blurring or flashing
- pain just below the ribs
- vomiting
- sudden swelling of the face, hands or feet
If you notice any symptoms of pre-eclampsia, seek medical advice immediately by calling your midwife, GP surgery or NHS 111.
Although many cases are mild, the condition can lead to serious complications for both mother and baby if it's not monitored and treated.
The earlier pre-eclampsia is diagnosed and monitored, the better the outlook for mother and baby."
Pressure ulcers (pressure sores),"Pressure ulcers (pressure sores or bed sores) are areas of damage to your skin and the tissue underneath. You have a higher chance of getting them if you have difficulty moving.
Pressure ulcers usually form on bony parts of the body, such as the heels, elbows, hips and tailbone.","- discoloured patches of skin that do not change colour when pressed – the patches are usually red on white skin, or purple or blue on black or brown skin
- a patch of skin that feels warm, spongy or hard
- pain or itchiness in the affected area of skin"
Priapism (painful erections),"Priapism is a long-lasting painful erection. It can cause permanent damage to your penis if not treated quickly.
There are things you can try to reduce your erection.",N/A
"Overview
    
 - 
      Primary biliary cholangitis (primary biliary cirrhosis)","Primary biliary cholangitis (PBC, often referred to as primary biliary cirrhosis) is a type of liver disease that can get gradually worse over time. Without treatment, it may eventually lead to liver failure.
PBC does not always cause symptoms, but some people may experience:","PBC does not always cause symptoms, but some people may experience:
- bone and joint aches
- fatigue (extreme tiredness)
- itchy skin
- dry eyes and mouth
- pain or discomfort in the upper right side of their tummy
Read more about the symptoms of PBC"
Probiotics,"Probiotics are live bacteria and yeasts promoted as having various health benefits. They're usually added to yoghurts or taken as food supplements, and are often described as ""good"" or ""friendly"" bacteria.
Probiotics are thought to help restore the natural balance of bacteria in your gut (including your stomach and intestines) when it's been disrupted by an illness or treatment.",N/A
Problems swallowing pills,"Lots of people find it hard to swallow pills. There are things you can try to make it easier and a pharmacist can offer advice.
take pills with water – you can take some pills with other drinks or food. Always read the instruction leaflet",N/A
